listing_id,neighborhood,bedrooms,property_type,price_ksh,occupancy_rate,rating,review_count,price_tier,source_neighbourhood,last_review
2539,lavington,Studio,Private Room,11700,0,4.2,9,4,Kensington,2018-10-19
2595,runda,2 BR,Entire Home,18400,0.027,4.6,45,5,Midtown,2019-05-21
3647,langata,Studio,Private Room,10900,0,4,0,2,Harlem,
3831,ngong-road,1 BR,Entire Home,6700,0.468,5,270,3,Clinton Hill,2019-07-05
5022,muthaiga,1 BR,Entire Home,6600,0,4.1,9,5,East Harlem,2018-11-19
5099,ngong-road,2 BR,Entire Home,15100,0.647,4.8,74,3,Murray Hill,2019-06-22
5121,lavington,Studio,Private Room,4700,0,4.7,49,4,Bedford-Stuyvesant,2017-10-05
5178,karen,Studio,Private Room,6500,0.397,5,430,5,Hell's Kitchen,2019-06-24
5203,kilimani,Studio,Private Room,6200,0,5,118,4,Upper West Side,2017-07-21
5238,muthaiga,1 BR,Entire Home,12300,0.485,5,160,5,Chinatown,2019-06-09
5295,kilimani,1 BR,Entire Home,10600,0.984,4.7,53,4,Upper West Side,2019-06-22
5441,karen,Studio,Private Room,7000,0.893,5,188,5,Hell's Kitchen,2019-06-23
5803,thika-road,Studio,Private Room,6200,0.14,5,167,1,South Slope,2019-06-24
6021,kilimani,Studio,Private Room,6700,0.088,5,113,4,Upper West Side,2019-07-05
6090,muthaiga,1 BR,Entire Home,9800,0,4.4,27,5,West Village,2018-10-31
6848,westlands,1 BR,Entire Home,11500,0.874,5,148,5,Williamsburg,2019-06-29
7097,runda,2 BR,Entire Home,17600,0.121,5,198,5,Fort Greene,2019-06-28
7322,lavington,Studio,Private Room,11000,0.967,5,260,4,Chelsea,2019-07-01
7726,south-c,1 BR,Entire Home,6900,0.942,5,53,1,Crown Heights,2019-06-22
7750,muthaiga,2 BR,Entire Home,15600,0.318,4,0,5,East Harlem,
7801,westlands,3 BR,Entire Home,24500,0,4.1,9,5,Williamsburg,2011-12-28
8024,south-b,Studio,Private Room,9400,0.049,5,130,2,Park Slope,2019-07-01
8025,south-b,Studio,Private Room,5800,0.003,4.6,39,2,Park Slope,2019-01-01
8110,south-b,Studio,Private Room,8000,0.167,4.8,71,2,Park Slope,2019-07-02
8490,lavington,1 BR,Entire Home,9500,0.362,4.9,88,4,Bedford-Stuyvesant,2019-06-19
8505,parklands,Studio,Private Room,4500,0.767,4.9,19,3,Windsor Terrace,2019-06-23
8700,westlands,Studio,Private Room,6600,0,4,0,5,Inwood,
9357,karen,1 BR,Entire Home,12300,0.795,4.7,58,5,Hell's Kitchen,2017-08-13
9518,westlands,Studio,Private Room,3600,0.148,5,108,5,Inwood,2019-06-15
9657,lavington,2 BR,Entire Home,14200,0.816,4.4,29,4,East Village,2019-04-19
9668,langata,Studio,Private Room,3600,0.027,5,242,2,Harlem,2019-06-01
9704,langata,Studio,Private Room,3800,0.301,5,88,2,Harlem,2019-06-14
9782,langata,Studio,Private Room,4000,0.222,5,197,2,Greenpoint,2019-06-15
9783,langata,Studio,Private Room,3600,0.016,5,273,2,Harlem,2019-07-01
10452,lavington,Studio,Private Room,5500,0.263,4.8,74,4,Bedford-Stuyvesant,2019-05-12
10962,thika-road,Studio,Private Room,6200,0.068,5,168,1,South Slope,2019-06-21
11452,lavington,Studio,Private Room,2800,0,4,0,4,Bedford-Stuyvesant,
