date,neighborhood,occupancy,booking_count
2015-07-01,westlands,0.766,103
2015-07-01,kilimani,0.582,97
2015-07-01,karen,0.561,103
2015-07-01,lavington,0.98,97
2015-07-01,langata,0.853,84
2015-07-01,gigiri,0.427,103
2015-07-01,parklands,0.452,91
2015-07-01,upperhill,0.381,91
2015-07-01,kileleshwa,0.523,97
2015-07-01,runda,0.501,103
2015-07-01,muthaiga,0.726,103
2015-07-01,south-b,0.414,84
2015-07-01,south-c,0.579,78
2015-07-01,ngong-road,0.416,91
2015-07-01,thika-road,0.442,78
2015-07-02,westlands,0.426,36
2015-07-02,kilimani,0.35,34
2015-07-02,karen,0.378,36
2015-07-02,lavington,0.591,34
2015-07-02,langata,0.461,30
2015-07-02,gigiri,0.313,36
2015-07-02,parklands,0.33,32
2015-07-02,upperhill,0.295,32
2015-07-02,kileleshwa,0.372,34
2015-07-02,runda,0.328,36
2015-07-02,muthaiga,0.426,36
2015-07-02,south-b,0.32,30
2015-07-02,south-c,0.364,27
2015-07-02,ngong-road,0.302,32
2015-07-02,thika-road,0.344,27
2015-07-03,westlands,0.521,37
2015-07-03,kilimani,0.443,35
2015-07-03,karen,0.471,37
2015-07-03,lavington,0.69,35
2015-07-03,langata,0.557,30
2015-07-03,gigiri,0.405,37
2015-07-03,parklands,0.422,33
2015-07-03,upperhill,0.387,33
2015-07-03,kileleshwa,0.464,35
2015-07-03,runda,0.42,37
2015-07-03,muthaiga,0.521,37
2015-07-03,south-b,0.412,30
2015-07-03,south-c,0.457,28
2015-07-03,ngong-road,0.394,33
2015-07-03,thika-road,0.436,28
2015-07-04,westlands,0.562,45
2015-07-04,kilimani,0.471,42
2015-07-04,karen,0.493,45
2015-07-04,lavington,0.765,42
2015-07-04,langata,0.604,37
2015-07-04,gigiri,0.418,45
2015-07-04,parklands,0.436,40
2015-07-04,upperhill,0.397,40
2015-07-04,kileleshwa,0.482,42
2015-07-04,runda,0.441,45
2015-07-04,muthaiga,0.556,45
2015-07-04,south-b,0.423,37
2015-07-04,south-c,0.483,34
2015-07-04,ngong-road,0.408,40
2015-07-04,thika-road,0.447,34
2015-07-05,westlands,0.521,37
2015-07-05,kilimani,0.443,35
2015-07-05,karen,0.471,37
2015-07-05,lavington,0.69,35
2015-07-05,langata,0.557,30
2015-07-05,gigiri,0.405,37
2015-07-05,parklands,0.422,33
2015-07-05,upperhill,0.387,33
2015-07-05,kileleshwa,0.464,35
2015-07-05,runda,0.42,37
2015-07-05,muthaiga,0.521,37
2015-07-05,south-b,0.412,30
2015-07-05,south-c,0.457,28
2015-07-05,ngong-road,0.394,33
2015-07-05,thika-road,0.436,28
2015-07-06,westlands,0.452,41
2015-07-06,kilimani,0.367,39
2015-07-06,karen,0.392,41
2015-07-06,lavington,0.638,39
2015-07-06,langata,0.49,34
2015-07-06,gigiri,0.322,41
2015-07-06,parklands,0.339,36
2015-07-06,upperhill,0.302,36
2015-07-06,kileleshwa,0.383,39
2015-07-06,runda,0.341,41
2015-07-06,muthaiga,0.449,41
2015-07-06,south-b,0.327,34
2015-07-06,south-c,0.38,31
2015-07-06,ngong-road,0.311,36
2015-07-06,thika-road,0.351,31
2015-07-07,westlands,0.391,29
2015-07-07,kilimani,0.326,27
2015-07-07,karen,0.359,29
2015-07-07,lavington,0.525,27
2015-07-07,langata,0.42,24
2015-07-07,gigiri,0.301,29
2015-07-07,parklands,0.317,26
2015-07-07,upperhill,0.286,26
2015-07-07,kileleshwa,0.356,27
2015-07-07,runda,0.309,29
2015-07-07,muthaiga,0.395,29
2015-07-07,south-b,0.311,24
2015-07-07,south-c,0.341,22
2015-07-07,ngong-road,0.29,26
2015-07-07,thika-road,0.334,22
2015-07-08,westlands,0.472,45
2015-07-08,kilimani,0.381,42
2015-07-08,karen,0.403,45
2015-07-08,lavington,0.675,42
2015-07-08,langata,0.514,37
2015-07-08,gigiri,0.328,45
2015-07-08,parklands,0.346,40
2015-07-08,upperhill,0.307,40
2015-07-08,kileleshwa,0.392,42
2015-07-08,runda,0.351,45
2015-07-08,muthaiga,0.466,45
2015-07-08,south-b,0.333,37
2015-07-08,south-c,0.393,34
2015-07-08,ngong-road,0.318,40
2015-07-08,thika-road,0.357,34
2015-07-09,westlands,0.391,29
2015-07-09,kilimani,0.326,27
2015-07-09,karen,0.359,29
2015-07-09,lavington,0.525,27
2015-07-09,langata,0.42,24
2015-07-09,gigiri,0.301,29
2015-07-09,parklands,0.317,26
2015-07-09,upperhill,0.286,26
2015-07-09,kileleshwa,0.356,27
2015-07-09,runda,0.309,29
2015-07-09,muthaiga,0.395,29
2015-07-09,south-b,0.311,24
2015-07-09,south-c,0.341,22
2015-07-09,ngong-road,0.29,26
2015-07-09,thika-road,0.334,22
2015-07-10,westlands,0.547,42
2015-07-10,kilimani,0.461,39
2015-07-10,karen,0.485,42
2015-07-10,lavington,0.737,39
2015-07-10,langata,0.586,34
2015-07-10,gigiri,0.413,42
2015-07-10,parklands,0.431,37
2015-07-10,upperhill,0.393,37
2015-07-10,kileleshwa,0.475,39
2015-07-10,runda,0.433,42
2015-07-10,muthaiga,0.543,42
2015-07-10,south-b,0.419,34
2015-07-10,south-c,0.473,32
2015-07-10,ngong-road,0.403,37
2015-07-10,thika-road,0.443,32
2015-07-11,westlands,0.643,61
2015-07-11,kilimani,0.526,57
2015-07-11,karen,0.536,61
2015-07-11,lavington,0.916,57
2015-07-11,langata,0.698,50
2015-07-11,gigiri,0.446,61
2015-07-11,parklands,0.465,54
2015-07-11,upperhill,0.417,54
2015-07-11,kileleshwa,0.518,57
2015-07-11,runda,0.482,61
2015-07-11,muthaiga,0.628,61
2015-07-11,south-b,0.445,50
2015-07-11,south-c,0.534,46
2015-07-11,ngong-road,0.435,54
2015-07-11,thika-road,0.471,46
2015-07-12,westlands,0.521,37
2015-07-12,kilimani,0.443,35
2015-07-12,karen,0.471,37
2015-07-12,lavington,0.69,35
2015-07-12,langata,0.557,30
2015-07-12,gigiri,0.405,37
2015-07-12,parklands,0.422,33
2015-07-12,upperhill,0.387,33
2015-07-12,kileleshwa,0.464,35
2015-07-12,runda,0.42,37
2015-07-12,muthaiga,0.521,37
2015-07-12,south-b,0.412,30
2015-07-12,south-c,0.457,28
2015-07-12,ngong-road,0.394,33
2015-07-12,thika-road,0.436,28
2015-07-13,westlands,0.442,39
2015-07-13,kilimani,0.36,37
2015-07-13,karen,0.386,39
2015-07-13,lavington,0.619,37
2015-07-13,langata,0.479,32
2015-07-13,gigiri,0.318,39
2015-07-13,parklands,0.335,34
2015-07-13,upperhill,0.299,34
2015-07-13,kileleshwa,0.378,37
2015-07-13,runda,0.335,39
2015-07-13,muthaiga,0.44,39
2015-07-13,south-b,0.324,32
2015-07-13,south-c,0.373,30
2015-07-13,ngong-road,0.307,34
2015-07-13,thika-road,0.349,30
2015-07-14,westlands,0.366,24
2015-07-14,kilimani,0.308,23
2015-07-14,karen,0.346,24
2015-07-14,lavington,0.479,23
2015-07-14,langata,0.391,20
2015-07-14,gigiri,0.293,24
2015-07-14,parklands,0.308,21
2015-07-14,upperhill,0.28,21
2015-07-14,kileleshwa,0.344,23
2015-07-14,runda,0.296,24
2015-07-14,muthaiga,0.373,24
2015-07-14,south-b,0.304,20
2015-07-14,south-c,0.325,18
2015-07-14,ngong-road,0.282,21
2015-07-14,thika-road,0.327,18
2015-07-15,westlands,0.518,54
2015-07-15,kilimani,0.412,51
2015-07-15,karen,0.427,54
2015-07-15,lavington,0.76,51
2015-07-15,langata,0.567,44
2015-07-15,gigiri,0.344,54
2015-07-15,parklands,0.363,48
2015-07-15,upperhill,0.318,48
2015-07-15,kileleshwa,0.412,51
2015-07-15,runda,0.374,54
2015-07-15,muthaiga,0.507,54
2015-07-15,south-b,0.345,44
2015-07-15,south-c,0.422,41
2015-07-15,ngong-road,0.333,48
2015-07-15,thika-road,0.37,41
2015-07-16,westlands,0.452,41
2015-07-16,kilimani,0.367,39
2015-07-16,karen,0.392,41
2015-07-16,lavington,0.638,39
2015-07-16,langata,0.49,34
2015-07-16,gigiri,0.322,41
2015-07-16,parklands,0.339,36
2015-07-16,upperhill,0.302,36
2015-07-16,kileleshwa,0.383,39
2015-07-16,runda,0.341,41
2015-07-16,muthaiga,0.449,41
2015-07-16,south-b,0.327,34
2015-07-16,south-c,0.38,31
2015-07-16,ngong-road,0.311,36
2015-07-16,thika-road,0.351,31
2015-07-17,westlands,0.871,106
2015-07-17,kilimani,0.682,100
2015-07-17,karen,0.659,106
2015-07-17,lavington,0.98,100
2015-07-17,langata,0.961,87
